;lnk;name;company;date_valid
0;https://jobs.ge/ge/?view=jobs&id=383135;Node.js + React დეველოპერი;Exoriens;26 ივნისი-26 ივლისი
1;https://jobs.ge/ge/?view=jobs&id=383129;საშუალო/უფროსი .Net დეველოპერი;Godel Technologies;26 ივნისი-26 ივლისი
2;https://jobs.ge/ge/?view=jobs&id=383132;საშუალო/უფროსი Java დეველოპერი;Godel Technologies;26 ივნისი-26 ივლისი
3;https://jobs.ge/ge/?view=jobs&id=383133;საშუალო/უფროსი Python ინჟინერი;Godel Technologies;26 ივნისი-26 ივლისი
4;https://jobs.ge/ge/?view=jobs&id=383131;წამყვანი Java დეველოპერი;Godel Technologies;26 ივნისი-26 ივლისი
5;https://jobs.ge/ge/?view=jobs&id=383130;Agile კოორდინატორი;Godel Technologies;26 ივნისი-26 ივლისი
6;https://jobs.ge/ge/?view=jobs&id=383126;IT სპეციალისტი;STREAM;26 ივნისი-10 ივლისი
7;https://jobs.ge/ge/?view=jobs&id=383098;IT მხარდაჭერის სპეციალისტი;მეიჯერელ საქართველო;25 ივნისი-08 ივლისი
8;https://jobs.ge/ge/?view=jobs&id=383050;DevOps ინჟინერი;სფეისი;25 ივნისი-25 ივლისი
9;https://jobs.ge/ge/?view=jobs&id=383049;პროდუქტის მფლობელი;სფეისი;25 ივნისი-25 ივლისი
10;https://jobs.ge/ge/?view=jobs&id=383036;პროგრამისტი;გრინვეი ლოჯისტიკ;24 ივნისი-24 ივლისი
11;https://jobs.ge/ge/?view=jobs&id=383020;ტექნიკური დახმარების სპეციალისტი;კავკასიის უნივერსიტეტი;24 ივნისი-09 ივლისი
12;https://jobs.ge/ge/?view=jobs&id=382938;ინტეგრაციის ინჟინერი;Webiz International;24 ივნისი-24 ივლისი
13;https://jobs.ge/ge/?view=jobs&id=382937;დანერგვის მენეჯერი;Webiz International;24 ივნისი-24 ივლისი
14;https://jobs.ge/ge/?view=jobs&id=382935;გლობალური ტექნიკური მხარდაჭერის მენეჯერი;Webiz International;24 ივნისი-24 ივლისი
15;https://jobs.ge/ge/?view=jobs&id=382855;UX კვლევის მენეჯერი;საქართველოს ბანკი;24 ივნისი-05 ივლისი
16;https://jobs.ge/ge/?view=jobs&id=382826;Software QA დეველოპერი;Frontline;24 ივნისი-24 ივლისი
17;https://jobs.ge/ge/?view=jobs&id=382786;Mid/Senior Java დეველოპერი;IBA IT Georgia;24 ივნისი-20 ივლისი
18;https://jobs.ge/ge/?view=jobs&id=382757;BI მონაცემთა დეველოპერი;აჭარაბეთი;24 ივნისი-24 ივლისი
19;https://jobs.ge/ge/?view=jobs&id=382760;მესამე პირთა უზრუნველყოფის ოფიცერი;აჭარაბეთი;24 ივნისი-24 ივლისი
20;https://jobs.ge/ge/?view=jobs&id=382770;ქსელისა და ქლაუდის უსაფრთხოების ინჟინერი;აჭარაბეთი;24 ივნისი-24 ივლისი
21;https://jobs.ge/ge/?view=jobs&id=382772;მონაცემთა უფროსი ანალიტიკოსი;აჭარაბეთი;24 ივნისი-24 ივლისი
22;https://jobs.ge/ge/?view=jobs&id=382774;IT ინციდენტების მმართველი;აჭარაბეთი;24 ივნისი-24 ივლისი
23;https://jobs.ge/ge/?view=jobs&id=382750;WordPress დეველოპერი;Doh Eain;24 ივნისი-24 ივლისი
24;https://jobs.ge/ge/?view=jobs&id=382715;Front End დეველოპერი;europebet;24 ივნისი-24 ივლისი
25;https://jobs.ge/ge/?view=jobs&id=382713;.NET დეველოპერი;სადაზღვევო კომპანია ალდაგი;24 ივნისი-30 ივნისი
26;https://jobs.ge/ge/?view=jobs&id=382712;Front-End დეველოპერი;სადაზღვევო კომპანია ალდაგი;24 ივნისი-30 ივნისი
27;https://jobs.ge/ge/?view=jobs&id=382707;JAVA დეველოპერი;სოფტგენი;24 ივნისი-01 სექტემბერი
28;https://jobs.ge/ge/?view=jobs&id=382705;Back-end დეველოპერი;პროკრედიტ ბანკი;24 ივნისი-10 ივლისი
29;https://jobs.ge/ge/?view=jobs&id=382625;პროდუქტის მფლობელი;აჭარაბეთი;23 ივნისი-23 ივლისი
30;https://jobs.ge/ge/?view=jobs&id=382624;პროდუქტის დიზაინერი;აჭარაბეთი;23 ივნისი-23 ივლისი
31;https://jobs.ge/ge/?view=jobs&id=382623;აპლიკაციის უსაფრთხოების ინჟინერი;აჭარაბეთი;23 ივნისი-23 ივლისი
32;https://jobs.ge/ge/?view=jobs&id=382626;IT აუდიტორი;აჭარაბეთი;23 ივნისი-23 ივლისი
33;https://jobs.ge/ge/?view=jobs&id=382583;მონაცემთა ბაზების უმცროსი ადმინისტრატორი;კრედო ბანკი;23 ივნისი-07 ივლისი
34;https://jobs.ge/ge/?view=jobs&id=382589;მონაცემთა ბაზების უფროსი ადმინისტრატორი;კრედო ბანკი;23 ივნისი-07 ივლისი
35;https://jobs.ge/ge/?view=jobs&id=382527;სტაჟირება IT მართვის დეპარტამენტში;ევექსი კლინიკები;23 ივნისი-07 ივლისი
36;https://jobs.ge/ge/?view=jobs&id=382521;აპლიკაციების მხარდაჭერის სპეციალისტი;მეგალაბი;23 ივნისი-21 ივლისი
37;https://jobs.ge/ge/?view=jobs&id=382510;რობოტიქსის მასწავლებელი;ევროპული სკოლა;23 ივნისი-15 ივლისი
38;https://jobs.ge/ge/?view=jobs&id=382504;Linux ადმინისტრატორი;აჭარაბეთი;23 ივნისი-23 ივლისი
39;https://jobs.ge/ge/?view=jobs&id=382478;ტექ და ბიზნეს ვაკანსიები;Payze;23 ივნისი-23 ივლისი
40;https://jobs.ge/ge/?view=jobs&id=382468;.NETდეველოპერი;სოფტგენი;23 ივნისი-01 სექტემბერი
41;https://jobs.ge/ge/?view=jobs&id=382452;სტაჟირება IT კლიენტების მომსახურების განყოფილებაში;თიბისი ბანკი;23 ივნისი-29 ივნისი
42;https://jobs.ge/ge/?view=jobs&id=382438; ქსელისა და სატელეკომუნიკაციო სისტემების ინჟინერი;C9;23 ივნისი-23 ივლისი
43;https://jobs.ge/ge/?view=jobs&id=382437;სისტემური გადაწყვეტილებების ინჟინერი;C9;23 ივნისი-23 ივლისი
44;https://jobs.ge/ge/?view=jobs&id=382436;IT რისკების ანალიტიკოსი;საპენსიო სააგენტო;23 ივნისი-08 ივლისი
45;https://jobs.ge/ge/?view=jobs&id=382434;დეველოპერი;საპენსიო სააგენტო;23 ივნისი-08 ივლისი
46;https://jobs.ge/ge/?view=jobs&id=382432;გრაფიკული დიზაინერი;ლიბრე;23 ივნისი-23 ივლისი
47;https://jobs.ge/ge/?view=jobs&id=382411;.Net, C# დეველოპერი;Fastlearn.ge;23 ივნისი-23 ივლისი
48;https://jobs.ge/ge/?view=jobs&id=382385;Android აპლიკაციის პროდუქტის მფლობელი;აჭარაბეთი;22 ივნისი-22 ივლისი
49;https://jobs.ge/ge/?view=jobs&id=382377;კონკურსი ERP ადმინისტრატორების სწავლება/სტაჟირებაზე;ავერსი ფარმა;22 ივნისი-28 ივნისი
50;https://jobs.ge/ge/?view=jobs&id=382295;სტაჟირება IT პროექტების მართვის მიმართულებით;ოპპა;22 ივნისი-22 ივლისი
51;https://jobs.ge/ge/?view=jobs&id=382292;კახეთის წარმომადგენლობის ქსელის კოორდინატორი;ოპპა;22 ივნისი-22 ივლისი
52;https://jobs.ge/ge/?view=jobs&id=382288;პროგრამული უზრუნველყოფის ტესტერი;ოპპა;22 ივნისი-22 ივლისი
53;https://jobs.ge/ge/?view=jobs&id=382204;ERP სისტემის ადმინისტრატორი;ავერსი ფარმა;22 ივნისი-20 ივლისი
54;https://jobs.ge/ge/?view=jobs&id=382203;ERP სისტემის ანალიტიკოსი;ავერსი ფარმა;22 ივნისი-20 ივლისი
55;https://jobs.ge/ge/?view=jobs&id=382202;ERP სისტემის უფროსი ანალიტიკოსი;ავერსი ფარმა;22 ივნისი-20 ივლისი
56;https://jobs.ge/ge/?view=jobs&id=382201;ERP სისტემის უმცროსი ანალიტიკოსი;ავერსი ფარმა;22 ივნისი-20 ივლისი
57;https://jobs.ge/ge/?view=jobs&id=382150;ინფორმაციული უსაფრთხოების კონსულტანტი/სპეციალისტი;UGT;22 ივნისი-22 ივლისი
58;https://jobs.ge/ge/?view=jobs&id=382117;Angular დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
59;https://jobs.ge/ge/?view=jobs&id=382116;უფროსი Java დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
60;https://jobs.ge/ge/?view=jobs&id=382115;iOS დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
61;https://jobs.ge/ge/?view=jobs&id=382114;ანალიტიკოს-დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
62;https://jobs.ge/ge/?view=jobs&id=382113;.Net დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
63;https://jobs.ge/ge/?view=jobs&id=382112;Java დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
64;https://jobs.ge/ge/?view=jobs&id=382111;PL/SQL დეველოპერი/უფროსი PL/SQL დეველოპერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
65;https://jobs.ge/ge/?view=jobs&id=382110;პროგრამული უზრუნველყოფის არქიტექტორი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
66;https://jobs.ge/ge/?view=jobs&id=382109;მონაცემთა მეცნიერი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
67;https://jobs.ge/ge/?view=jobs&id=382108;Android დეველოპერი;საქართველოს ბანკი;22 ივნისი-22 ივლისი
68;https://jobs.ge/ge/?view=jobs&id=382107;მონაცემთა ანალიტიკოსი;საქართველოს ბანკი;22 ივნისი-06 ივლისი
69;https://jobs.ge/ge/?view=jobs&id=382106;ვებ დეველოპერი ;საქართველოს ბანკი;22 ივნისი-06 ივლისი
70;https://jobs.ge/ge/?view=jobs&id=381557;უმცროსი ვებ დეველოპერი;Scandiweb;22 ივნისი-20 ივლისი
71;https://jobs.ge/ge/?view=jobs&id=382072;პროგრამული მხარდაჭერის სპეციალისტი;თიბისი ბანკი;22 ივნისი-05 ივლისი
72;https://jobs.ge/ge/?view=jobs&id=382038;ინფორმაციული უსაფრთხოების ოფიცერი;ლიბერთი ბანკი;21 ივნისი-05 ივლისი
73;https://jobs.ge/ge/?view=jobs&id=382006;მონაცემთა მეცნიერი - მოდელების რისკების მენეჯერი;თიბისი ბანკი;21 ივნისი-05 ივლისი
74;https://jobs.ge/ge/?view=jobs&id=382009;ბაზის ადმინისტრატორი - პრობ. აქტივების მართვის განყოფილება;თიბისი ბანკი;21 ივნისი-05 ივლისი
75;https://jobs.ge/ge/?view=jobs&id=381948;Front-End დეველოპერი;სოფტგენი;21 ივნისი-01 სექტემბერი
76;https://jobs.ge/ge/?view=jobs&id=381860;R&D ინჟინერი;Atlantic Georgia;21 ივნისი-20 ივლისი
77;https://jobs.ge/ge/?view=jobs&id=381777;დღე-ღამის ცვლის უსაფრთხოების კოორდინატორი;რიკო ექსპრესი;21 ივნისი-21 ივლისი
78;https://jobs.ge/ge/?view=jobs&id=381748;IT მხარდაჭერის სპეციალისტი;აი სი არ თრეიდი;21 ივნისი-20 ივლისი
79;https://jobs.ge/ge/?view=jobs&id=381678;პროგრამული უზრუნველყოფის ტესტერი;იმედი L;20 ივნისი-04 ივლისი
80;https://jobs.ge/ge/?view=jobs&id=381553;უმცროსი React დეველოპერი/სტაჟიორი;Scandiweb;20 ივნისი-20 ივლისი
81;https://jobs.ge/ge/?view=jobs&id=381554;ინფორმაციული უსაფრთხოების ოფიცერი;კრედო ბანკი;20 ივნისი-30 ივნისი
82;https://jobs.ge/ge/?view=jobs&id=381508;IT ხარისხის მართვის ინჟინერი;საქართველოს ბანკი;20 ივნისი-20 ივლისი
83;https://jobs.ge/ge/?view=jobs&id=381511;გადაწყვეტილებების არქიტექტორი ;საქართველოს ბანკი;20 ივნისი-20 ივლისი
84;https://jobs.ge/ge/?view=jobs&id=381507;მომსახურების საიმედოობის ინჟინერი;Amber Studios;20 ივნისი-20 ივლისი
85;https://jobs.ge/ge/?view=jobs&id=381502;დისტანციური მხარდაჭერის უმცროსი სპეციალისტი;საქართველოს ბანკი;20 ივნისი-04 ივლისი
86;https://jobs.ge/ge/?view=jobs&id=381413;Middle Front-End დეველოპერი;კონექტი;20 ივნისი-20 ივლისი
87;https://jobs.ge/ge/?view=jobs&id=381405;Mid/Senior ASP.NET დეველოპერის;63BITS;20 ივნისი-20 ივლისი
88;https://jobs.ge/ge/?view=jobs&id=381098;პროგრამული უზრუნველყოფის დეველოპერი;პაშა ბანკი;18 ივნისი-16 ივლისი
89;https://jobs.ge/ge/?view=jobs&id=381092;პროგრამული უზრუნველყოფის უმცროსი დეველოპერი;პაშა ბანკი;18 ივნისი-16 ივლისი
90;https://jobs.ge/ge/?view=jobs&id=381266;ტექნიკური მხარდაჭერის მენეჯერი;სახელმწიფო სერვისების განვითარების სააგენტო;18 ივნისი-26 ივნისი
91;https://jobs.ge/ge/?view=jobs&id=381071;IT სპეციალისტი;ლაზიკა კაპიტალი;17 ივნისი-17 ივლისი
92;https://jobs.ge/ge/?view=jobs&id=381058;PL/SQL დეველოპერი;ოპპა;17 ივნისი-17 ივლისი
93;https://jobs.ge/ge/?view=jobs&id=381057;UX მკვლევარი;ბეთლაივი;17 ივნისი-17 ივლისი
94;https://jobs.ge/ge/?view=jobs&id=381043;IT მხარდაჭერის ინჟინერი;ტელნეტი;17 ივნისი-17 ივლისი
95;https://jobs.ge/ge/?view=jobs&id=381029;IT მხარდაჭერის სპეციალისტი;ნიკორა ტრეიდი;17 ივნისი-17 ივლისი
96;https://jobs.ge/ge/?view=jobs&id=381012;უმცროსი Java/Kotlin დეველოპერი;Lightspeed;17 ივნისი-17 ივლისი
97;https://jobs.ge/ge/?view=jobs&id=381010;ვებ დეველოპერი - PHP + React.js;Lightspeed;17 ივნისი-17 ივლისი
98;https://jobs.ge/ge/?view=jobs&id=381005;WFM ოპერაციების სპეციალისტი;მეიჯერელ საქართველო;17 ივნისი-30 ივნისი
99;https://jobs.ge/ge/?view=jobs&id=380938;უმცროსი დეველოპერი;თიბისი დაზღვევა;17 ივნისი-30 ივნისი
100;https://jobs.ge/ge/?view=jobs&id=380931;გლობალური ფინანსური მონაცემების სტიუარდი;FINCA Impact Finance;17 ივნისი-07 ივლისი
101;https://jobs.ge/ge/?view=jobs&id=380854;მობილური აპლიკაციების დეველოპერი;Taylor Venture Group;16 ივნისი-16 ივლისი
102;https://jobs.ge/ge/?view=jobs&id=380842;Microsoft Dynamics F&SCM ინციდენტ მენეჯერი;Prodware;16 ივნისი-08 ივლისი
103;https://jobs.ge/ge/?view=jobs&id=380785;უფროსი Back-end დეველოპერი;TBC Net;16 ივნისი-01 ივლისი
104;https://jobs.ge/ge/?view=jobs&id=380784;Back-end დეველოპერი;TBC Net;16 ივნისი-01 ივლისი
105;https://jobs.ge/ge/?view=jobs&id=380751;უმცროსი Front-End დეველოპერი - Remote;Exactpro;16 ივნისი-16 ივლისი
106;https://jobs.ge/ge/?view=jobs&id=380753;მომსახურების საიმედოობის ინჟინერი - Remote;Exactpro;16 ივნისი-16 ივლისი
107;https://jobs.ge/ge/?view=jobs&id=380752;პროგრამული უზრუნველყოფის ტესტერი - Remote;Exactpro;16 ივნისი-16 ივლისი
108;https://jobs.ge/ge/?view=jobs&id=380749;უფროსი Java დეველოპერი - სავაჭრო სისტემა/Remote;Exactpro;16 ივნისი-16 ივლისი
109;https://jobs.ge/ge/?view=jobs&id=380748;Java დეველოპერი - სავაჭრო სისტემა - Remote;Exactpro;16 ივნისი-16 ივლისი
110;https://jobs.ge/ge/?view=jobs&id=380747;უფროსი Java დეველოპერი - Remote;Exactpro;16 ივნისი-16 ივლისი
111;https://jobs.ge/ge/?view=jobs&id=380746;Front-End დეველოპერი - Remote;Exactpro;16 ივნისი-16 ივლისი
112;https://jobs.ge/ge/?view=jobs&id=380745;Java დეველოპერი - Remote;Exactpro;16 ივნისი-16 ივლისი
113;https://jobs.ge/ge/?view=jobs&id=380531;IT ანალიტიკოსი/ბიზნეს ანალიტიკოსი;მუნიციპალური სერვისების განვითარების სააგენტო;16 ივნისი-16 ივლისი
114;https://jobs.ge/ge/?view=jobs&id=380684;SAP SF კონსულტანტი;IBA IT Georgia;16 ივნისი-10 ივლისი
115;https://jobs.ge/ge/?view=jobs&id=380683;SAP BW კონსულტანტი;IBA IT Georgia;16 ივნისი-10 ივლისი
116;https://jobs.ge/ge/?view=jobs&id=380669;უფროსი პროგრამული უზრუნველყოფის დეველოპერი;Optime;15 ივნისი-15 ივლისი
117;https://jobs.ge/ge/?view=jobs&id=380668;C++ დეველოპერი;Optime;15 ივნისი-15 ივლისი
118;https://jobs.ge/ge/?view=jobs&id=380666;Full-Stack დეველოპერი;Optime;15 ივნისი-15 ივლისი
119;https://jobs.ge/ge/?view=jobs&id=380665;Embedded C++ პროგრამული უზრუნველყოფის დეველოპერი;Optime;15 ივნისი-15 ივლისი
120;https://jobs.ge/ge/?view=jobs&id=380664;Python Automation დეველოპერი;Optime;15 ივნისი-15 ივლისი
