,name,price
0,"პური თეთრი ""იფქლი დიღომი"" უსაფუარო 520გრ",1.7
1,"პური თეთრი ""იფქლი დიღომი"" დიღმის პური 410გრ",1
2,"პური თეთრი ""იფქლი დიღომი"" 530გრ",1.2
3,"პური თეთრი ""იფქლი დიღომი"" დაჭრილი 530გრ",1.4
4,"პური თეთრი ""იფქლი დიღომი"" აგური ხორბლის ალაო 450გრ",1.4
5,"პური ჭვავის ""იფქლი დიღომი"" მოხარშული ალაო 0% 300გრ",1
6,პური შვრიის „პური“ 300გრ,1.25
7,"პური შავი  ""იფქლი დიღომი"" მოხარშული აგური 350 გრ",1.45
8,"პური ქატოსი ""იფქლი დიღომი"" მოხარშული 300გრ",1.05
9,"პური ""მზეთამზე"" ჭვია მზესუმზირით 350გრ",2.9
10,"პური ჭვავის ""მზეთამზე"" ჭვია  350გრ",2.5
11,"პური რუხი ""მზეთამზე"" ცეხვილი 500გრ",2.3
12,"პური ჭვავის ""ლიტვური საცხობი"" მარგებელი 350გრ",2.3
13,"პური სელის ""თბილპური"" დაჭრილი 500გრ",1.6
14,"პური ჭვავის ""ლიტვური საცხობი"" სვეიკატა 0% 375გრ",2.35
15,"პური ჭვავის ""ლიტვური საცხობი"" სვეიკატა 0% 750გრ",4.15
16,"პური დიაბეტური ""იფქლი დიღომი"" დიაპური 300გრ",1.25
17,"პური ტოსტის ""ლიტვური საცხობი"" 600გრ",2.55
18,"პური ""ემსიბი"" ჰამბურგერის 50გრ",3.3
19,"პური ""ბებოს ლავაში"" ლავაში 400გრ",2.15
20,"პური ""მარა"" ბერძნული ლავაში 480გრ",1.2
21,"პური თეთრი ""იფქლი დიღომი""  ბატონი დიღომი პლიუსი 500გრ",1.1
22,"პური თეთრი ""მზეთამზე"" 500გრ",2.3
23,"პური თეთრი ""თბილისური"" მრგვალი 500გრ",1.65
24,"პური ""იფქლი დიღომი"" ცეხვილი 510გრ",1.2
25,"პური შავი ""იფქლი დიღომი"" დაჭრილი 510გრ",1.3
26,"პური თეთრი ""მზეთამზე"" დაჭრილი 460გრ",1.85
27,"პური დიეტური ""ამარანტი"" 350გრ",1.55
28,"პური დიაბეტური ""ამარანტი"" 350გრ",1.55
29,"პური ლავაში ""თბილისური"" მრგვალი 200გრ",1.55
30,"შაქარი ""ზოგე"" 1კგ",2.69
31,"შაქარი ""აგარის"" 1კგ",3.8
32,"შაქარი ყავისფერი ""ლერწმის"" 800 გრ",6.3
33,"შაქარი ნატეხი ""აზერ შაქარი"" 150გრ",1.7
34,"შაქარი ""გოროდეისკი"" 1კგ",2.79
35,"შაქარი ""რიჩმონდი"" 1კგ",3.7
36,"ზეთი მზესუმზირის ""ოლეინა"" 1ლ",9.4
37,"ზეთი მზესუმზირის ""ბარაქა"" 1ლ",8.95
38,"ზეთი მზესუმზირის ""ოლეინა"" ზეითუნის ზეთით 1ლ",9.4
39,"ზეთი მზესუმზირის ""ოლეინა"" 2ლ",18.6
40,"ზეთი მზესუმზირის ""ბარაქა"" კახური არარაფინირებული 0,5ლ",6.5
41,"ზეთი ზეითუნის ""კრისტალ"" ექსტრა ლაითი 500 მლ",13.95
42,"ზეთი ზეითუნის ""კრისტალ"" ექსტრა ვირჯინი 500 მლ",14.95
43,"ზეთი ზეითუნის ""სიზმა"" ექსტრა ვირჯინი 500მლ",13.49
44,"ზეთი სიმინდის ""სლობოდა"" 1ლ",9.95
45,"კონსერვი ზეთისხილის ""აიელო"" შავი უკურკო 400გრ",4.6
46,"კონსერვი ზეთისხილის ""აიელო"" შავი კურკიანი 400გრ",3.95
47,"კონსერვი ზეთისხილის ""აკორსა"" შავი კურკიანი 425გრ",3.49
